CODE,Country,Date,Confirmed Cases,Daily Confirmed,Deaths,Daily Deaths,Recovered,Daily Recovered,Region,Income Level,GDP,Population
BGD,Bangladesh,2020-05-14,18863,1041,283,14,3361,0,South Asia,Lower middle income,343279000000,163046161
BGR,Bulgaria,2020-04-16,800,53,38,2,122,17,Europe,Upper middle income,71746000000,7000119
BGR,Bulgaria,2020-05-21,2331,39,120,4,727,43,Europe,Upper middle income,71746000000,7000119
CAF,Central African Republic,2020-04-09,8,0,0,0,0,0,Sub-Saharan Africa,Low income,2485000000,4745185
ESY,Estonia,2020-02-27,1,1,0,0,0,0,Europe,High income,33235000000,1325648
BGR,Bulgaria,2020-04-13,685,10,32,3,71,3,Europe,Upper middle income,71746000000,7000119
AUT,Austria,2020-04-19,14749,78,452,9,10501,287,Europe,High income,481678000000,8955102
AUT,Austria,2020-05-18,16269,27,629,0,14614,51,Europe,High income,481678000000,8955102
CUB,Cuba,2020-04-08,457,61,12,1,27,0,Latin America & Caribbean,Upper middle income,89688700000,11333483
CUB,Cuba,2020-06-02,2092,9,83,0,1827,1,Latin America & Caribbean,Upper middle income,89688700000,11333483
ECU,Ecuador,2020-03-14,28,11,2,2,0,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
ECU,Ecuador,2020-03-17,58,21,2,0,0,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
ECU,Ecuador,2020-04-18,9022,572,456,35,1008,170,Latin America & Caribbean,Upper middle income,107730000000,17373662
ECU,Ecuador,2020-05-08,28818,0,1704,50,3433,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
ECU,Ecuador,2020-05-17,33182,419,2736,48,3433,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
ECU,Ecuador,2020-03-11,17,2,0,0,0,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
ECU,Ecuador,2020-04-15,7858,255,388,19,780,84,Latin America & Caribbean,Upper middle income,107730000000,17373662
GMB,Gambia,2020-05-02,17,5,1,0,9,1,Sub-Saharan Africa,Low income,1870000000,2347706
GMB,Gambia,2020-05-08,20,2,1,0,9,0,Sub-Saharan Africa,Low income,1870000000,2347706
GMB,Gambia,2020-05-11,22,2,1,0,10,1,Sub-Saharan Africa,Low income,1870000000,2347706
ZWE,Zimbabwe,2020-03-26,3,0,1,0,0,0,Sub-Saharan Africa,Lower middle income,25812000000,14645468
TWN,Taiwan,2020-06-08,443,0,7,0,430,0,East Asia & Pacific,High income,633695000000,23773876
TWN,Taiwan,2020-06-11,443,0,7,0,431,0,East Asia & Pacific,High income,633695000000,23773876
TGO,Togo,2020-05-19,338,8,12,0,107,1,Sub-Saharan Africa,Low income,6132000000,8082366
TGO,Togo,2020-06-14,530,0,13,0,291,0,Sub-Saharan Africa,Low income,6132000000,8082366
TWN,Taiwan,2020-03-07,45,0,1,0,12,0,East Asia & Pacific,High income,633695000000,23773876
ZWE,Zimbabwe,2020-04-04,9,0,1,0,0,0,Sub-Saharan Africa,Lower middle income,25812000000,14645468
ZMB,Zambia,2020-06-17,1412,7,11,0,1142,0,Sub-Saharan Africa,Lower middle income,25272000000,17861030
TUR,Turkey,2020-04-01,15679,2148,277,63,333,90,Europe,Upper middle income,809555000000,83429615
PER,Peru,2020-03-07,1,0,0,0,0,0,Latin America & Caribbean,Upper middle income,244163000000,32510453
PER,Peru,2020-04-05,2281,535,83,10,989,75,Latin America & Caribbean,Upper middle income,244163000000,32510453
POL,Poland,2020-03-24,901,152,10,2,1,0,Europe,High income,643274000000,37887768
POL,Poland,2020-03-27,1389,168,16,0,7,0,Europe,High income,643274000000,37887768
POL,Poland,2020-06-02,24395,230,1092,18,11726,277,Europe,High income,643274000000,37887768
THA,Thailand,2020-02-06,25,0,0,0,5,0,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-03-09,50,0,1,0,31,0,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-04-04,2067,89,20,1,674,62,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-04-10,2473,50,33,1,1013,73,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-06-07,3112,8,58,0,2972,1,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-06-10,3125,4,58,0,2981,8,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-03-06,48,1,1,0,31,0,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-05-09,3004,4,56,1,2787,3,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-05-12,3017,2,56,0,2798,2,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,2020-06-04,3101,17,58,0,2968,0,East Asia & Pacific,Upper middle income,547431000000,69037513
MAR,Morocco,2020-05-02,4729,160,173,2,1256,173,Middle East & North Africa,Lower middle income,129056000000,36471769
STP,Sao Tome and Principe,2020-05-12,208,0,5,0,4,0,Sub-Saharan Africa,Lower middle income,527000000,211.028
STP,Sao Tome and Principe,2020-05-09,208,0,5,0,4,0,Sub-Saharan Africa,Lower middle income,527000000,211.028
SUR,Suriname,2020-04-07,10,0,1,0,0,0,Latin America & Caribbean,Upper middle income,3919000000,581372
TUR,Turkey,2020-06-01,164769,827,4563,23,128947,974,Europe,Upper middle income,809555000000,83429615
LIE,Liechtenstein,2020-03-04,1,1,0,0,0,0,Europe,High income,6193677543,38019
ITA,Ivory Coast,2020-05-06,1516,52,18,0,721,20,Sub-Saharan Africa,NULL,NULL,NULL
ITA,Ivory Coast,2020-06-01,2951,118,33,0,1467,32,Sub-Saharan Africa,NULL,NULL,NULL
ITA,Ivory Coast,2020-04-01,190,11,1,0,9,2,Sub-Saharan Africa,NULL,NULL,NULL
MEX,Mexico,2020-05-07,29616,1982,2961,257,17781,0,Latin America & Caribbean,Upper middle income,1297750000000,127575529
MEX,Mexico,2020-06-02,97326,3891,10637,470,69749,2784,Latin America & Caribbean,Upper middle income,1297750000000,127575529
MEX,Mexico,2020-04-05,1890,202,79,19,633,0,Latin America & Caribbean,Upper middle income,1297750000000,127575529
MEX,Mexico,2020-05-01,20739,1515,1972,113,12377,954,Latin America & Caribbean,Upper middle income,1297750000000,127575529
MEX,Mexico,2020-05-30,87512,2885,9779,364,61247,2244,Latin America & Caribbean,Upper middle income,1297750000000,127575529
MNE,Montenegro,2020-04-06,233,19,2,0,1,0,Europe,Upper middle income,5740000000,627987
MEX,Mexico,2020-03-01,5,1,0,0,0,0,Latin America & Caribbean,Upper middle income,1297750000000,127575529
ITA,Ivory Coast,2020-06-04,3262,152,35,0,1584,54,Sub-Saharan Africa,NULL,NULL,NULL
JAM,Jamaica,2020-06-13,615,1,10,0,420,3,Latin America & Caribbean,Upper middle income,16717000000,2948279
IRN,Iran,2020-02-20,5,3,2,0,0,0,Middle East & North Africa,Upper middle income,495694000000,82913906
IRN,Iran,2020-02-23,43,15,8,3,0,0,Middle East & North Africa,Upper middle income,495694000000,82913906
IRN,Iran,2020-04-24,88194,1168,5574,93,66599,1756,Middle East & North Africa,Upper middle income,495694000000,82913906
IRN,Iran,2020-06-18,197647,2596,9272,87,156991,2179,Middle East & North Africa,Upper middle income,495694000000,82913906
IRQ,Iraq,2020-02-26,5,4,0,0,0,0,Middle East & North Africa,Upper middle income,246932000000,39309783
IRQ,Iraq,2020-04-01,728,34,52,2,182,12,Middle East & North Africa,Upper middle income,246932000000,39309783
IRQ,Iraq,2020-04-27,1847,27,88,1,1286,23,Middle East & North Africa,Upper middle income,246932000000,39309783
MEX,Mexico,2020-03-07,6,0,0,0,1,0,Latin America & Caribbean,Upper middle income,1297750000000,127575529
MLI,Mali,2020-04-21,258,12,14,0,57,1,Sub-Saharan Africa,Low income,19332000000,19658031
ERI,Eritrea,2020-05-09,39,0,0,0,37,0,Sub-Saharan Africa,Low income,8116000000,3497117
JAM,Jamaica,2020-04-07,63,5,3,0,8,0,Latin America & Caribbean,Upper middle income,16717000000,2948279
JAM,Jamaica,2020-05-09,490,0,9,0,62,0,Latin America & Caribbean,Upper middle income,16717000000,2948279
JAM,Jamaica,2020-05-12,507,2,9,0,100,10,Latin America & Caribbean,Upper middle income,16717000000,2948279
JAM,Jamaica,2020-05-15,511,2,9,0,121,3,Latin America & Caribbean,Upper middle income,16717000000,2948279
JAM,Jamaica,2020-03-15,10,2,0,0,0,0,Latin America & Caribbean,Upper middle income,16717000000,2948279
GHA,Ghana,2020-03-31,161,9,5,0,31,29,Sub-Saharan Africa,Lower middle income,72264000000,28833629
LIE,Liechtenstein,2020-05-07,82,0,1,0,55,0,Europe,High income,6193677543,38019
MEX,Mexico,2020-03-27,585,110,8,2,4,0,Latin America & Caribbean,Upper middle income,1297750000000,127575529
MCO,Monaco,2020-04-24,94,0,4,0,41,6,Europe,High income,6468000877,38964
BOL,Bolivia,2020-03-15,10,0,0,0,0,0,Latin America & Caribbean,Lower middle income,47052000000,11513100
ITA,Ivory Coast,2020-05-03,1398,36,17,2,653,31,Sub-Saharan Africa,NULL,NULL,NULL
JAM,Jamaica,2020-03-12,2,1,0,0,0,0,Latin America & Caribbean,Upper middle income,16717000000,2948279
JAM,Jamaica,2020-05-06,478,5,9,0,57,1,Latin America & Caribbean,Upper middle income,16717000000,2948279
COL,Colombia,2020-06-09,40847,0,1373,0,16459,0,Latin America & Caribbean,Upper middle income,352810000000,50339443
NOR,Norway,2020-04-01,4863,222,44,5,13,0,Europe,High income,438623000000,5378857
NOR,Norway,2020-04-24,7463,62,199,5,32,0,Europe,High income,438623000000,5378857
NOR,Norway,2020-05-26,8383,19,235,0,7727,0,Europe,High income,438623000000,5378857
BOL,Bolivia,2020-05-09,2437,171,114,8,258,21,Latin America & Caribbean,Lower middle income,47052000000,11513100
BOL,Bolivia,2020-06-10,15281,637,512,25,2261,71,Latin America & Caribbean,Lower middle income,47052000000,11513100
BRN,Brunei,2020-03-27,115,1,0,0,11,6,East Asia & Pacific,High income,14281000000,433285
BRN,Brunei,2020-05-01,138,0,1,0,124,0,East Asia & Pacific,High income,14281000000,433285
BRN,Brunei,2020-05-30,141,0,2,0,138,0,East Asia & Pacific,High income,14281000000,433285
LIE,Liechtenstein,2020-03-30,62,6,0,0,0,0,Europe,High income,6193677543,38019
BRN,Brunei,2020-05-04,138,0,1,0,130,2,East Asia & Pacific,High income,14281000000,433285
CYP,Cyprus,2020-03-24,124,8,3,2,3,0,Europe,High income,26348000000,1179551
CYP,Cyprus,2020-05-27,939,0,17,0,594,0,Europe,High income,26348000000,1179551
COL,Colombia,2020-03-11,9,6,0,0,0,0,Latin America & Caribbean,Upper middle income,352810000000,50339443
MEX,Mexico,2020-03-30,993,145,20,4,35,31,Latin America & Caribbean,Upper middle income,1297750000000,127575529
MCO,Monaco,2020-02-29,1,1,0,0,0,0,Europe,High income,6468000877,38964
IRN,Iran,2020-05-29,146668,2819,7677,50,114931,1943,Middle East & North Africa,Upper middle income,495694000000,82913906
IRN,Iran,2020-02-26,139,44,19,3,49,49,Middle East & North Africa,Upper middle income,495694000000,82913906
GMB,Gambia,2020-06-03,26,1,1,0,20,0,Sub-Saharan Africa,Low income,1870000000,2347706
BGD,Bangladesh,2020-06-09,71675,3171,975,45,15337,777,South Asia,Lower middle income,343279000000,163046161
ESY,Estonia,2020-04-25,1635,30,46,0,228,22,Europe,High income,33235000000,1325648
ESY,Estonia,2020-05-01,1694,5,52,0,253,4,Europe,High income,33235000000,1325648
SVK,Slovakia,2020-05-17,1494,1,28,0,1163,12,Europe,High income,117399000000,5457013
SDN,Sudan,2020-05-11,1526,161,74,4,162,13,Sub-Saharan Africa,Lower middle income,82887395895,42813238
SYR,Syria,2020-04-22,42,0,3,0,6,0,Middle East & North Africa,Low income,22163075121,17070135
SYR,Syria,2020-05-12,47,0,3,0,29,0,Middle East & North Africa,Low income,22163075121,17070135
ATG,Antigua and Barbuda,2020-04-27,24,0,3,0,11,0,Latin America & Caribbean,High income,1809000000,97118
ATG,Antigua and Barbuda,2020-03-26,7,4,0,0,0,0,Latin America & Caribbean,High income,1809000000,97118
ATG,Antigua and Barbuda,2020-03-20,1,0,0,0,0,0,Latin America & Caribbean,High income,1809000000,97118
ATG,Antigua and Barbuda,2020-03-23,3,2,0,0,0,0,Latin America & Caribbean,High income,1809000000,97118
COL,Colombia,2020-03-14,22,9,0,0,0,0,Latin America & Caribbean,Upper middle income,352810000000,50339443
PER,Peru,2020-05-04,47372,1444,1344,58,14427,877,Latin America & Caribbean,Upper middle income,244163000000,32510453
COL,Colombia,2020-05-08,10051,595,428,21,2424,124,Latin America & Caribbean,Upper middle income,352810000000,50339443
COL,Colombia,2020-06-12,45344,1534,1562,57,17823,457,Latin America & Caribbean,Upper middle income,352810000000,50339443
COM,Comoros,2020-05-06,8,5,1,1,0,0,Sub-Saharan Africa,Lower middle income,1178000000,832322
ITA,Ivory Coast,2020-03-29,165,64,1,1,4,1,Sub-Saharan Africa,NULL,NULL,NULL
CYP,Cyprus,2020-06-02,952,3,17,0,790,0,Europe,High income,26348000000,1179551
GNQ,Equatorial Guinea,2020-06-02,1306,0,12,0,200,0,Sub-Saharan Africa,Upper middle income,12263000000,1355986
ERI,Eritrea,2020-05-06,39,0,0,0,30,0,Sub-Saharan Africa,Low income,8116000000,3497117
ATG,Antigua and Barbuda,2020-06-21,26,0,3,0,22,0,Latin America & Caribbean,High income,1809000000,97118
GHA,Ghana,2020-05-05,2719,0,18,0,294,0,Sub-Saharan Africa,Lower middle income,72264000000,28833629
GHA,Ghana,2020-05-28,7303,0,34,0,2412,0,Sub-Saharan Africa,Lower middle income,72264000000,28833629
IRN,Iran,2020-03-26,29406,2389,2234,157,10457,832,Middle East & North Africa,Upper middle income,495694000000,82913906
IRN,Iran,2020-04-27,91472,991,5806,96,70933,1276,Middle East & North Africa,Upper middle income,495694000000,82913906
MCO,Monaco,2020-04-21,94,0,3,0,26,3,Europe,High income,6468000877,38964
MCO,Monaco,2020-04-30,95,0,4,0,64,6,Europe,High income,6468000877,38964
MCO,Monaco,2020-05-26,98,0,4,0,90,0,Europe,High income,6468000877,38964
MNE,Montenegro,2020-05-11,324,0,9,0,294,4,Europe,Upper middle income,5740000000,627987
NOR,Norway,2020-03-03,32,7,0,0,0,0,Europe,High income,438623000000,5378857
ATG,Antigua and Barbuda,2020-03-29,7,0,0,0,0,0,Latin America & Caribbean,High income,1809000000,97118
JAM,Jamaica,2020-06-07,598,2,10,0,405,1,Latin America & Caribbean,Upper middle income,16717000000,2948279
KGZ,Kyrgyzstan,2020-04-21,590,22,7,0,216,15,Central Asia,Lower middle income,8781000000,6415850
KGZ,Kyrgyzstan,2020-05-17,1138,21,14,0,804,21,Central Asia,Lower middle income,8781000000,6415850
MUS,Mauritius,2020-06-20,337,0,10,0,326,1,Sub-Saharan Africa,Upper middle income,15757000000,1198575
Republic of the Congo,Republic of the Congo,2020-03-16,1,1,0,0,0,0,Sub-Saharan Africa,NULL,NULL,NULL
SYC,Seychelles,2020-03-28,8,1,0,0,0,0,Sub-Saharan Africa,High income,1739000000,97739
SYC,Seychelles,2020-04-29,11,0,0,0,6,0,Sub-Saharan Africa,High income,1739000000,97739
EGY,Egypt,2020-04-16,2673,168,196,13,596,7,Middle East & North Africa,Lower middle income,331360000000,100388073
EGY,Egypt,2020-05-15,11228,399,592,21,2799,173,Middle East & North Africa,Lower middle income,331360000000,100388073
EGY,Egypt,2020-06-16,47856,1567,1766,94,12730,401,Middle East & North Africa,Lower middle income,331360000000,100388073
EGY,Egypt,2020-03-09,55,6,1,0,12,11,Middle East & North Africa,Lower middle income,331360000000,100388073
EGY,Egypt,2020-03-12,67,7,1,0,27,0,Middle East & North Africa,Lower middle income,331360000000,100388073
EGY,Egypt,2020-05-18,12764,535,645,15,3440,268,Middle East & North Africa,Lower middle income,331360000000,100388073
LUX,Luxembourg,2020-04-01,2319,141,29,6,80,0,Europe,High income,73693000000,615729
ZAF,South Africa,2020-03-10,7,4,0,0,0,0,Sub-Saharan Africa,Upper middle income,386727000000,58558270
ZAF,South Africa,2020-04-05,1655,70,11,2,95,0,Sub-Saharan Africa,Upper middle income,386727000000,58558270
SWZ,Eswatini,2020-03-19,1,0,0,0,0,0,Sub-Saharan Africa,Lower middle income,4711000000,1148130
SWZ,Eswatini,2020-04-17,16,0,1,0,8,0,Sub-Saharan Africa,Lower middle income,4711000000,1148130
LVA,Latvia,2020-05-06,900,4,17,0,464,116,Europe,High income,38102000000,1906743
SAU,Saudi Arabia,2020-03-19,274,103,0,0,6,0,Middle East & North Africa,High income,790062000000,34268528
SEN,Senegal,2020-05-10,1709,75,19,2,650,7,Sub-Saharan Africa,Lower middle income,28062000000,16296364
GRC,Greece,2020-03-11,99,10,1,1,0,0,Europe,High income,230500000000,10473455
LVA,Latvia,2020-03-03,1,0,0,0,0,0,Europe,High income,38102000000,1906743
LVA,Latvia,2020-04-13,655,4,5,0,16,0,Europe,High income,38102000000,1906743
IND,India,2020-02-23,3,0,0,0,3,0,South Asia,Lower middle income,3257720000000,1366417754
MMR,Burma,2020-06-18,286,24,6,0,187,2,East Asia & Pacific,Lower middle income,71403000000,54045420
GRC,Greece,2020-03-05,31,22,0,0,0,0,Europe,High income,230500000000,10473455
BHR,Bahrain,2020-05-23,8802,388,13,1,4465,369,Middle East & North Africa,High income,40707000000,1641172
IND,India,2020-02-20,3,0,0,0,3,0,South Asia,Lower middle income,3257720000000,1366417754
IND,India,2020-05-23,131423,6629,3868,142,54385,2561,South Asia,Lower middle income,3257720000000,1366417754
IND,India,2020-05-26,150793,5843,4344,172,64277,3571,South Asia,Lower middle income,3257720000000,1366417754
IND,India,2020-06-15,343091,22169,9900,705,180013,17634,South Asia,Lower middle income,3257720000000,1366417754
TUR,Turkey,2020-03-26,3629,1196,75,16,26,0,Europe,Upper middle income,809555000000,83429615
TUR,Turkey,2020-05-03,126045,1670,3397,61,63151,4892,Europe,Upper middle income,809555000000,83429615
THA,Thailand,2020-03-12,70,11,1,0,34,0,East Asia & Pacific,Upper middle income,547431000000,69037513
PAN,Panama,2020-04-30,6532,154,188,10,576,49,Latin America & Caribbean,High income,75494000000,4246439
PAN,Panama,2020-05-29,12531,400,326,6,7540,161,Latin America & Caribbean,High income,75494000000,4246439
MNE,Montenegro,2020-04-09,252,4,2,0,4,0,Europe,Upper middle income,5740000000,627987
MNE,Montenegro,2020-05-02,322,0,8,1,245,12,Europe,Upper middle income,5740000000,627987
MAR,Morocco,2020-04-09,1374,99,97,4,109,12,Middle East & North Africa,Lower middle income,129056000000,36471769
MAR,Morocco,2020-05-05,5219,166,181,2,1838,185,Middle East & North Africa,Lower middle income,129056000000,36471769
MOZ,Mozambique,2020-04-09,17,0,0,0,1,0,Sub-Saharan Africa,Low income,16294000000,30366036
MOZ,Mozambique,2020-05-02,79,0,0,0,18,6,Sub-Saharan Africa,Low income,16294000000,30366036
THA,Thailand,2020-06-13,3134,5,58,0,2987,0,East Asia & Pacific,Upper middle income,547431000000,69037513
NOR,Norway,2020-04-30,7738,28,210,3,32,0,Europe,High income,438623000000,5378857
SUR,Suriname,2020-05-03,10,0,1,0,9,1,Latin America & Caribbean,Upper middle income,3919000000,581372
SUR,Suriname,2020-05-09,10,0,1,0,9,0,Latin America & Caribbean,Upper middle income,3919000000,581372
SUR,Suriname,2020-06-01,44,21,1,0,9,0,Latin America & Caribbean,Upper middle income,3919000000,581372
NOR,Norway,2020-04-04,5550,180,62,3,32,0,Europe,High income,438623000000,5378857
TUR,Turkey,2020-06-04,167410,988,4630,21,131778,926,Europe,Upper middle income,809555000000,83429615
POL,Poland,2020-05-24,21326,395,996,3,9194,217,Europe,High income,643274000000,37887768
THA,Thailand,2020-02-12,33,0,0,0,10,0,East Asia & Pacific,Upper middle income,547431000000,69037513
SUR,Suriname,2020-04-01,10,1,0,0,0,0,Latin America & Caribbean,Upper middle income,3919000000,581372
LUX,Luxembourg,2020-05-09,3877,6,101,1,3550,24,Europe,High income,73693000000,615729
SWZ,Eswatini,2020-04-14,15,0,0,0,8,1,Sub-Saharan Africa,Lower middle income,4711000000,1148130
SWZ,Eswatini,2020-05-13,187,3,2,0,48,20,Sub-Saharan Africa,Lower middle income,4711000000,1148130
PNG,Papua New Guinea,2020-05-16,8,0,0,0,8,0,East Asia & Pacific,Lower middle income,22114000000,8776109
PNG,Papua New Guinea,2020-05-22,8,0,0,0,8,0,East Asia & Pacific,Lower middle income,22114000000,8776109
IND,India,2020-03-23,499,103,10,3,34,10,South Asia,Lower middle income,3257720000000,1366417754
IND,India,2020-02-17,3,0,0,0,3,0,South Asia,Lower middle income,3257720000000,1366417754
IND,India,2020-03-17,142,23,3,1,14,1,South Asia,Lower middle income,3257720000000,1366417754
IND,India,2020-03-20,244,50,5,1,20,5,South Asia,Lower middle income,3257720000000,1366417754
IND,India,2020-04-18,15722,1370,521,35,2463,422,South Asia,Lower middle income,3257720000000,1366417754
LKA,Sri Lanka,2020-02-15,1,0,0,0,1,0,South Asia,Upper middle income,89942000000,21323733
LKA,Sri Lanka,2020-03-15,18,8,0,0,1,0,South Asia,Upper middle income,89942000000,21323733
LKA,Sri Lanka,2020-06-13,1884,4,11,0,1252,56,South Asia,Upper middle income,89942000000,21323733
VCT,Saint Vincent and the Grenadines,2020-04-09,12,4,0,0,1,0,Latin America & Caribbean,Upper middle income,903000000,110589
ETH,Ethiopia,2020-03-21,9,0,0,0,0,0,Sub-Saharan Africa,Low income,99371000000,112078730
ETH,Ethiopia,2020-04-19,108,3,3,0,16,0,Sub-Saharan Africa,Low income,99371000000,112078730
CUB,Cuba,2020-06-05,2133,14,83,0,1848,9,Latin America & Caribbean,Upper middle income,89688700000,11333483
GBR,United Kingdom,2020-02-18,9,0,0,0,8,0,Europe,High income,2927080000000,67530172
MDV,Maldives,2020-04-22,86,3,0,0,16,0,South Asia,Upper middle income,6213000000,530953
MDV,Maldives,2020-05-21,1216,30,4,0,91,0,South Asia,Upper middle income,6213000000,530953
MDV,Maldives,2020-06-13,2013,10,8,0,1217,24,South Asia,Upper middle income,6213000000,530953
MLT,Malta,2020-05-12,506,3,5,0,434,0,Middle East & North Africa,High income,16338000000,440372
MLT,Malta,2020-06-13,646,1,9,0,601,1,Middle East & North Africa,High income,16338000000,440372
SDN,Sudan,2020-04-09,15,1,2,0,2,0,Sub-Saharan Africa,Lower middle income,82887395895,42813238
SDN,Sudan,2020-05-14,1818,0,90,0,198,0,Sub-Saharan Africa,Lower middle income,82887395895,42813238
HND,Honduras,2020-03-24,30,3,0,0,0,0,Latin America & Caribbean,Lower middle income,25560000000,9746117
BGR,Bulgaria,2020-05-12,2023,33,95,2,476,15,Europe,Upper middle income,71746000000,7000119
BGR,Bulgaria,2020-05-18,2235,24,110,2,612,14,Europe,Upper middle income,71746000000,7000119
MLT,Malta,2020-05-18,558,5,6,0,456,2,Middle East & North Africa,High income,16338000000,440372
BGD,Bangladesh,2020-03-14,3,0,0,0,0,0,South Asia,Lower middle income,343279000000,163046161
IRL,Ireland,2020-05-21,24391,76,1583,12,21060,0,Europe,High income,405185000000,4882495
IRL,Ireland,2020-06-13,25295,45,1705,0,22698,0,Europe,High income,405185000000,4882495
SVK,Slovakia,2020-05-23,1504,1,28,0,1280,24,Europe,High income,117399000000,5457013
SVK,Slovakia,2020-06-18,1562,1,28,0,1443,6,Europe,High income,117399000000,5457013
GMB,Gambia,2020-04-03,4,0,1,0,2,0,Sub-Saharan Africa,Low income,1870000000,2347706
GMB,Gambia,2020-05-31,25,0,1,0,20,0,Sub-Saharan Africa,Low income,1870000000,2347706
ETH,Ethiopia,2020-06-16,3630,109,61,1,738,118,Sub-Saharan Africa,Low income,99371000000,112078730
FJI,Fiji,2020-05-30,18,0,0,0,15,0,East Asia & Pacific,Upper middle income,5671000000,889953
FJI,Fiji,2020-06-05,18,0,0,0,18,0,East Asia & Pacific,Upper middle income,5671000000,889953
JOR,Jordan,2020-03-08,1,0,0,0,0,0,Middle East & North Africa,Upper middle income,46451000000,10101694
JOR,Jordan,2020-04-03,310,11,5,0,58,13,Middle East & North Africa,Upper middle income,46451000000,10101694
JOR,Jordan,2020-05-11,562,22,9,0,390,1,Middle East & North Africa,Upper middle income,46451000000,10101694
